id,username,created_at,text
8.66677E+17,SFBARTalert,22/5/17 15:26,b'10 min delay at DALY in East Bay dir due to equip prob.'
8.66676E+17,SFBARTalert,22/5/17 15:25,b'10 min delay at PHIL in DALY dir due mechanical issues.'
8.66628E+17,SFBARTalert,22/5/17 12:14,b'10 min delay at DALY in warm springs dir due to equip prob.'
8.66418E+17,SFBARTalert,21/5/17 22:17,b'10 min delay at CONC in SFO and MLBR dirs due to equip prob.'
8.66078E+17,SFBARTalert,20/5/17 23:47,"b'BART svc has resumed between BALB and COLM in SFO, MLBR and East Bay dirs. Expect major delays in svc in all dirs from DALY stn.'"
8.66061E+17,SFBARTalert,20/5/17 22:40,b'A detailed BART service advisory has been issued: https://t.co/G8Clxd8beX'
8.66052E+17,SFBARTalert,20/5/17 22:03,"b'Major delay on SF line in PITT, DUBL, warm springs, RICH, SFO, MLBR and DALY dirs due to equip prob.'"
8.6605E+17,SFBARTalert,20/5/17 21:56,"b'Delay developing at DALY in SFO, SF and East Bay dirs due to equip prob.'"
8.65793E+17,SFBARTalert,20/5/17 4:56,b'BART recovering: 20 min delay at EMBR in East Bay dir due to police activity.'
8.65792E+17,SFBARTalert,20/5/17 4:51,b'10 min delay at EMBR in East Bay dir due to police activity.'
8.65681E+17,SFBARTalert,19/5/17 21:29,b'Oak airport connector has returned to normal svc.'
8.65675E+17,SFBARTalert,19/5/17 21:05,"b'10 min delay at SANL in DUBL, warm springs and FRMT dirs due to equip prob.'"
8.65674E+17,SFBARTalert,19/5/17 21:02,b'Oak airport connector is currently out of svc due to a mechanical prob. Ac transit bus 73 travels from COLS stn to Oak airport.'
8.65269E+17,SFBARTalert,18/5/17 18:12,b'10 min delay between SHAY and UCTY in all dir due to unscheduled track maintenance.'
8.6523E+17,SFBARTalert,18/5/17 15:36,"b'BART recovering: 10 min delay at SF stns in SFO, MLBR and DALY dirs due to police activity.'"
8.65229E+17,SFBARTalert,18/5/17 15:34,b'Oak airport connector is now running normal svc.'
8.65217E+17,SFBARTalert,18/5/17 14:47,"b'10 min delay in downtown Oak in SFO, MLBR and DALY dirs due to police activity.'"
8.6521E+17,SFBARTalert,18/5/17 14:18,b'Expect 10 min delays on Oak airport connector due to equipment issues.'
8.6498E+17,SFBARTalert,17/5/17 23:06,b'20 min delay between DALY and GLEN on SF line in DUBL and FRMT dirs due to equip prob.'
8.64971E+17,SFBARTalert,17/5/17 22:30,b'BART recovering: 10 min on FRMT line in RICH and DALY dirs due to an earlier quipment prob on a train.'
8.6497E+17,SFBARTalert,17/5/17 22:24,"b'10 min delay between COLS and SANL in FRMT, RICH and DALY dirs due to equip prob.'"
8.64871E+17,SFBARTalert,17/5/17 15:51,"b'BART recovering: 10 min delay at SF stns in SFO, MLBR and DALY dirs due to earlier medical emergencies.'"
8.64857E+17,SFBARTalert,17/5/17 14:57,"b'10 min delay at SF stns in SFO, MLBR and DALY dirs due to an earlier medical emergency at WOAK.'"
8.64646E+17,SFBARTalert,17/5/17 0:57,b'10 min delay on FRMT line in warm springs dir due to equip prob.'
8.64641E+17,SFBARTalert,17/5/17 0:37,b'10 min delay on PITT line in PITT and PHIL dirs due to equip prob.'
8.64629E+17,SFBARTalert,16/5/17 23:50,b'10 min delay on RICH line in FRMT and MLBR dirs due to equip prob.'
8.64507E+17,SFBARTalert,16/5/17 15:46,b'BART recovering: 10 min delay system wide due to police activity and medical emergencies.'
8.64503E+17,SFBARTalert,16/5/17 15:29,b'10 min delay at SF stns in SFO and MLBR dirs due to police activity.'
8.64494E+17,SFBARTalert,16/5/17 14:54,b'BART recovering: 10 min delay at POWL in East Bay dir due to police activity.'
8.64372E+17,SFBARTalert,16/5/17 6:47,b'BART recovering: 20 min delay on FRMT line in DUBL and warm springs dirs due to a medical emergency.'
8.64139E+17,SFBARTalert,15/5/17 15:21,b'BART recovering: 10 min delay at ROCK in PITT dir due to equip prob.'
8.64136E+17,SFBARTalert,15/5/17 15:11,b'10 min delay at ROCK in PITT dir due to equip prob.'
8.6399E+17,SFBARTalert,15/5/17 5:29,"b'BART recovering: 15 min delay at SF stns in SFO, MLBR and DALY dirs due to person(s) on track.'"
8.63371E+17,SFBARTalert,13/5/17 12:30,b'A detailed BART service advisory has been issued: https://t.co/G8Clxd8beX'
8.63266E+17,SFBARTalert,13/5/17 5:35,"b'20 min delay at ROCK in PITT, SFO and MLBR dirs due to equip prob.'"
8.63234E+17,SFBARTalert,13/5/17 3:27,b'10 min delay on RICH line in warm springs and RICH dirs due to person(s) on track.'
8.63204E+17,SFBARTalert,13/5/17 1:29,b'BART recovering: 10 min delay on SF line in East Bay dir due to equip prob.'
8.63057E+17,SFBARTalert,12/5/17 15:45,"b'BART recovering: 10 min delay on RICH line in FRMT, RICH and MLBR dirs due to an earlier medical emergency at DELN.'"
8.63053E+17,SFBARTalert,12/5/17 15:28,"b'10 min delay on RICH line in FRMT, RICH and MLBR dirs due to a medical emergency at DELN.'"
8.6288E+17,SFBARTalert,12/5/17 3:59,b'A detailed BART service advisory has been issued: https://t.co/G8Clxd8beX'
